Source:,C:/progetti_20/OpenS/HW/hw-input/20-000-Schema Elettrico/10000001.sch
Date:,02/09/2016 09:24:14
Tool:,Eeschema 4.0.3-stable
Generator:,C:/programmi_20/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value.py
Component Count:,34

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,CERAMIC,MF,MF_PN,NOPOP,VAL,VALUE,VOLTAGE,Value
,,C1,C_100n_0603_10_X7R_25V,os_capacitor_SMD:C_100n_0603_10_X7R_25V,Capacitors_SMD:C_0603,,X7R,Murata,GRM188R71E104KA01D,0,,100n,25V,C_100n_0603_10_X7R_25V
,,C2,C_1u_0603_10_X7R_25V,os_capacitor_SMD:C_1u_0603_10_X7R_25V,Capacitors_SMD:C_0603,,X7R,Murata,GRJ188R71E105KE11D,0,,1u,25V,C_1u_0603_10_X7R_25V
,,D1,TVS_SMC_49.1V,tvs:TVS_SMC_49.1V,Diodes_SMD:SMC_Standard,,,BOURNS,SMLJ40CA,0,,,,49.1V
,,D2,TVS_SMC_49.1V,tvs:TVS_SMC_49.1V,Diodes_SMD:SMC_Standard,,,BOURNS,SMLJ40CA,0,,,,49.1V
,,P1,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P2,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P3,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P4,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P5,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P6,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
,,P7,PLUG_01X04_254,os_conn_strip:PLUG_01X04_254,Socket_Strips:Socket_Strip_Straight_1x04,,,Harwin,M20-7820446,0,M20-7820446,,,PLUG_01X04_254
