"Id";"Riferimento";"Contenitore";"Quantità";"Valore";"Produttore";
1;"U1";"SO16L";1;"PCF8574";;;
2;"R13,R11,R9,R8,R7";"SM0603";5;"10000";;;
3;"R12,R10";"SM0603";2;"1000";;;
4;"R1,R2,R3,R4,R5,R6";"SM0603";6;"0";;;
5;"P8,P7,P6,P5,P4,P3,P2,P1";"PIN_ARRAY_4x1";8;"CONN_4";;;
6;"D2,D1";"DO214";2;"ZENERSMALL";;;
7;"R17,R19,R18,R16";"SM2512";4;"2400";;;
8;"R15,R14";"SM0603";2;"100";;;
9;"IC1,IC2";"optocoupler-2-MINI-FLAT-4";2;"TLP291";;;
10;"MH1,MH2";"MountingHole_3-5mm";2;"MountingHole_3-5mm";;;
11;"FID1";"Fiducial_Modern_CopperTop";1;"Fiducial_Modern_CopperTop";;;
12;"C1";"C_0603";1;"100n";;;
13;"C2";"C_0603";1;"1u";;;
