"Id";"Riferimento";"Contenitore";"Quantità";"Valore";"Produttore";
1;"U1";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
2;"P7,P6,P5,P4,P3,P2,P1";"PIN_ARRAY_4x1";7;"CONN_01X04";;;
3;"FID1";"Fiducial_Modern_CopperTop";1;"Fiducial_Modern_CopperTop";;;
4;"MH1,MH2";"MountingHole_3-5mm";2;"MountingHole_3-5mm";;;
5;"C1,C3,C4";"C_0603";3;"100n";;;
6;"C2";"C_0603";1;"1u";;;
7;"C5";"TantalC_SizeA_EIA-3216_HandSoldering";1;"4.7u";;;
8;"C6";"C_0603_HandSoldering";1;"10n";;;
9;"D1,D2";"LED-0603";2;"LED";;;
10;"FB1";"C_0805";1;"FILTER";;;
11;"P9,P10,P11,P12";"Pin_Header_Straight_1x01";4;"CONN_01X01";;;
12;"R1,R2";"R_0603";2;"270";;;
13;"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12";"R_0603";10;"0";;;
14;"CON1";"conn_usb_B_micro_smd";1;"USB-MICRO-B";;;
